Chart Recorder Data File Thu, Feb 27, 2020 12:14 PM
Time (s)	Position (m)  
11:58:59.922	0.219000
11:59:00.922	0.219000
11:59:01.922	0.219000
11:59:02.922	0.219000
11:59:03.922	0.219000
11:59:04.922	0.219000
11:59:05.922	0.219000
11:59:06.922	0.219000
11:59:07.922	0.218000
11:59:08.922	0.218000
11:59:09.922	0.218000
11:59:10.922	0.218000
11:59:11.922	0.218000
11:59:12.921	0.218000
11:59:13.922	0.218000
11:59:14.922	0.218000
11:59:15.922	0.218000
11:59:16.922	0.218000
11:59:17.922	0.218000
11:59:18.922	0.217000
11:59:19.921	0.217000
11:59:20.922	0.217000
11:59:21.922	0.217000
11:59:22.922	0.216000
11:59:23.922	0.217000
11:59:24.922	0.216000
11:59:25.922	0.216000
11:59:26.921	0.216000
11:59:27.922	0.216000
11:59:28.922	0.216000
11:59:29.922	0.216000
11:59:30.922	0.216000
11:59:31.922	0.216000
11:59:32.922	0.215000
11:59:33.921	0.215000
11:59:34.922	0.216000
11:59:35.922	0.215000
11:59:36.922	0.215000
11:59:37.922	0.215000
11:59:38.922	0.215000
11:59:39.922	0.215000
11:59:40.921	0.215000
11:59:41.922	0.215000
11:59:42.922	0.215000
11:59:43.922	0.214000
11:59:44.922	0.215000
11:59:45.922	0.214000
11:59:46.922	0.214000
11:59:47.922	0.214000
11:59:48.922	0.214000
11:59:49.922	0.214000
11:59:50.922	0.213000
11:59:51.922	0.213000
11:59:52.921	0.213000
11:59:53.922	0.214000
11:59:54.922	0.213000
11:59:55.922	0.214000
11:59:56.922	0.213000
11:59:57.922	0.213000
11:59:58.922	0.213000
11:59:59.921	0.213000
12:00:00.922	0.213000
12:00:01.922	0.213000
12:00:02.922	0.213000
12:00:03.922	0.212000
12:00:04.922	0.213000
12:00:05.922	0.213000
12:00:06.922	0.212000
12:00:07.922	0.212000
12:00:08.922	0.212000
12:00:09.922	0.212000
12:00:10.922	0.212000
12:00:11.921	0.212000
12:00:12.922	0.213000
12:00:13.922	0.212000
12:00:14.922	0.212000
12:00:15.922	0.212000
12:00:16.922	0.212000
12:00:17.922	0.212000
12:00:18.921	0.212000
12:00:19.922	0.212000
12:00:20.922	0.212000
12:00:21.922	0.211000
12:00:22.922	0.211000
12:00:23.922	0.212000
12:00:24.922	0.212000
12:00:25.921	0.211000
12:00:26.922	0.211000
12:00:27.922	0.211000
12:00:28.922	0.211000
12:00:29.922	0.211000
12:00:30.922	0.211000
12:00:31.922	0.211000
12:00:32.921	0.211000
12:00:33.922	0.211000
12:00:34.922	0.211000
12:00:35.922	0.211000
12:00:36.922	0.211000
